ear,head_pose,mouth_ratio,label,source
0.044838,0.039265,0.003332,0,Drowsy
0.027927,0.044372,0.002156,0,Drowsy
0.028159,0.046635,0.001416,0,Drowsy
0.028432,0.047737,0.000336,0,Drowsy
0.023725,0.049324,0.000336,0,Drowsy
0.046276,0.051621,0.000701,0,Drowsy
0.040321,0.06058,0.000613,0,Drowsy
0.042895,0.058097,0.002307,0,Drowsy
0.052353,0.059646,0.000899,0,Drowsy
0.039107,0.058619,0.000254,0,Drowsy
0.042216,0.055148,0.005031,0,Drowsy
0.028162,0.057751,0.007288,0,Drowsy
0.037538,0.058014,0.01113,0,Drowsy
0.051321,0.055896,0.004972,0,Drowsy
0.040338,0.051555,0.003396,0,Drowsy
0.047359,0.050526,0.000545,0,Drowsy
0.043048,0.053826,0.003284,0,Drowsy
0.053916,0.060394,0.002604,0,Drowsy
0.058245,0.060338,0.001547,0,Drowsy
0.048241,0.066647,0.000221,0,Drowsy
0.051316,0.053878,0.000411,0,Drowsy
0.038483,0.058026,0.000111,0,Drowsy
0.042015,0.056134,0.000507,0,Drowsy
0.048427,0.048889,0.001564,0,Drowsy
0.047586,0.051474,3.3e-05,0,Drowsy
0.05203,0.051216,0.008292,0,Drowsy
0.041623,0.050958,0.002929,0,Drowsy
0.041121,0.04233,0.003315,0,Drowsy
0.050466,0.03772,0.016812,0,Drowsy
0.071027,0.046938,0.008315,0,Drowsy
0.066602,0.036142,0.007425,0,Drowsy
0.059643,0.038403,0.004762,0,Drowsy
0.056426,0.037229,0.000884,0,Drowsy
0.071266,0.041609,0.002412,0,Drowsy
0.059596,0.04744,0.000853,0,Drowsy
0.079889,0.030252,0.002702,0,Drowsy
0.058678,0.027786,0.001225,0,Drowsy
0.056287,0.026628,0.002611,0,Drowsy
0.06881,0.028346,0.001105,0,Drowsy
0.119034,0.030252,0.000271,0,Drowsy
0.076806,0.031625,0.00322,0,Drowsy
0.067375,0.035089,0.00464,0,Drowsy
0.100171,0.022667,0.00564,0,Drowsy
0.107456,0.037165,0.006782,0,Drowsy
0.122466,0.029323,0.012114,0,Drowsy
0.139719,0.037352,0.009401,0,Drowsy
0.158339,0.041891,0.008733,0,Drowsy
0.142612,0.043169,0.012004,0,Drowsy
0.090525,0.044214,0.014104,0,Drowsy
0.128659,0.038019,0.007386,0,Drowsy
0.163688,0.024914,0.00793,0,Drowsy
0.1815,0.036342,0.005048,0,Drowsy
0.112308,0.037252,0.00818,0,Drowsy
0.171768,0.038967,0.003452,0,Drowsy
0.150192,0.039565,0.01192,0,Drowsy
0.194529,0.022019,0.000831,0,Drowsy
0.097945,0.078952,0.032629,0,Drowsy
0.099054,0.101394,0.027002,0,Drowsy
0.116149,0.086977,0.026609,0,Drowsy
0.104022,0.082447,0.017594,0,Drowsy
